"SourceAdd","SourcePort","DestinationAdd","DestinationPort","Protocol","Length","TCP Window Size","TCP Length","UDP Length","HTTP Request Method"
"65.54.95.142","80","192.168.3.131","55973","TCP","1514","65696","1460","",""
"65.54.95.142","80","192.168.3.131","55973","TCP","1514","65696","1460","",""
"192.168.3.131","55973","65.54.95.142","80","TCP","54","65700","0","",""
"65.54.95.142","80","192.168.3.131","55973","TCP","1514","65696","1460","",""
"65.54.95.142","80","192.168.3.131","55973","TCP","1514","65696","1460","",""
"192.168.3.131","55973","65.54.95.142","80","TCP","54","65700","0","",""
"65.54.95.142","80","192.168.3.131","55973","TCP","1514","65696","1460","",""
"65.54.95.142","80","192.168.3.131","55973","TCP","1514","65696","1460","",""
"192.168.3.131","55973","65.54.95.142","80","TCP","54","65700","0","",""
"65.54.95.142","80","192.168.3.131","55973","TCP","1514","65696","1460","",""
"65.54.95.142","80","192.168.3.131","55973","TCP","1514","65696","1460","",""
"192.168.3.131","55973","65.54.95.142","80","TCP","54","65700","0","",""
"65.54.95.142","80","192.168.3.131","55973","TCP","1514","65696","1460","",""
"65.54.95.142","80","192.168.3.131","55973","TCP","1514","65696","1460","",""
"192.168.3.131","55973","65.54.95.142","80","TCP","54","65700","0","",""
"65.54.95.142","80","192.168.3.131","55973","TCP","1514","65696","1460","",""
"65.54.95.142","80","192.168.3.131","55973","HTTP","1138","65696","1084","",""
"192.168.3.131","55973","65.54.95.142","80","TCP","54","65700","0","",""
"192.168.3.131","55968","72.14.213.101","80","TCP","54","65476","0","",""
"72.14.213.101","80","192.168.3.131","55968","HTTP/XML","356","11200","302","",""
"192.168.3.131","55968","72.14.213.101","80","TCP","66","65476","0","",""
"192.168.3.131","57839","72.14.213.147","80","HTTP","1266","16445","1212","","GET"
"192.168.3.131","55963","65.54.95.140","80","TCP","54","64308","0","",""
"192.168.3.131","55971","65.55.17.37","80","TCP","54","62959","0","",""
"72.14.213.147","80","192.168.3.131","57839","TCP","60","1002","0","",""
"192.168.3.131","55972","207.46.216.54","80","TCP","54","64030","0","",""
"72.14.213.147","80","192.168.3.131","57839","HTTP","269","1002","215","",""
"192.168.3.131","55956","66.235.139.121","80","TCP","54","64440","0","",""
"192.168.3.131","57839","72.14.213.147","80","TCP","54","16391","0","",""
"192.168.3.131","57839","72.14.213.147","80","HTTP","1157","16391","1103","","GET"
"72.14.213.147","80","192.168.3.131","57839","TCP","60","1002","0","",""
"72.14.213.147","80","192.168.3.131","57839","HTTP","323","1002","269","",""
"192.168.3.131","58264","208.82.236.129","80","TCP","66","8192","0","",""
"192.168.3.131","55963","65.54.95.140","80","HTTP","452","64308","398","","GET"
"65.54.95.140","80","192.168.3.131","55963","TCP","1514","65696","1460","",""
"65.54.95.140","80","192.168.3.131","55963","TCP","1514","65696","1460","",""
"65.54.95.140","80","192.168.3.131","55963","TCP","1514","65696","1460","",""
"192.168.3.131","55963","65.54.95.140","80","TCP","54","65700","0","",""
"65.54.95.140","80","192.168.3.131","55963","TCP","1514","65696","1460","",""
"65.54.95.140","80","192.168.3.131","55963","TCP","1514","65696","1460","",""
"65.54.95.140","80","192.168.3.131","55963","HTTP","1023","65696","969","",""
"192.168.3.131","55963","65.54.95.140","80","TCP","54","65700","0","",""
"208.82.236.129","80","192.168.3.131","58264","TCP","66","4380","0","",""
"192.168.3.131","58264","208.82.236.129","80","TCP","54","65700","0","",""
"192.168.3.131","58264","208.82.236.129","80","HTTP","607","65700","553","","GET"
"192.168.3.131","57839","72.14.213.147","80","TCP","54","16324","0","",""
"208.82.236.129","80","192.168.3.131","58264","HTTP","270","4933","216","",""
"208.82.236.129","80","192.168.3.131","58264","TCP","60","4933","0","",""
"192.168.3.131","58264","208.82.236.129","80","TCP","54","65484","0","",""
"192.168.3.131","58264","208.82.236.129","80","TCP","54","65484","0","",""
"192.168.3.131","58265","208.82.236.129","80","TCP","66","8192","0","",""
"208.82.236.129","80","192.168.3.131","58264","TCP","60","4933","0","",""
"208.82.236.129","80","192.168.3.131","58265","TCP","66","4380","0","",""
"192.168.3.131","58265","208.82.236.129","80","TCP","54","65700","0","",""
"192.168.3.131","58265","208.82.236.129","80","HTTP","660","65700","606","","GET"
"208.82.236.129","80","192.168.3.131","58265","TCP","1514","4986","1460","",""
"208.82.236.129","80","192.168.3.131","58265","TCP","1514","4986","1460","",""
"208.82.236.129","80","192.168.3.131","58265","TCP","1514","4986","1460","",""
"192.168.3.131","58265","208.82.236.129","80","TCP","54","65700","0","",""
"208.82.236.129","80","192.168.3.131","58265","TCP","1514","4986","1460","",""
"208.82.236.129","80","192.168.3.131","58265","HTTP","862","4986","808","",""
"208.82.236.129","80","192.168.3.131","58265","TCP","60","4986","0","",""
"192.168.3.131","58265","208.82.236.129","80","TCP","54","65700","0","",""
"192.168.3.131","58265","208.82.236.129","80","TCP","54","65700","0","",""
"208.82.236.129","80","192.168.3.131","58265","TCP","60","4986","0","",""
"65.54.95.142","80","192.168.3.131","55973","TCP","60","65696","0","",""
"192.168.3.131","55973","65.54.95.142","80","TCP","54","65700","0","",""
"72.14.213.105","443","192.168.3.131","57721","TLSv1","115","257","61","",""
"72.14.213.105","443","192.168.3.131","57721","TLSv1","91","257","37","",""
"72.14.213.105","443","192.168.3.131","57721","TCP","60","257","0","",""
"192.168.3.131","57721","72.14.213.105","443","TCP","54","16213","0","",""
"192.168.3.131","57721","72.14.213.105","443","TCP","54","16213","0","",""
"72.14.213.105","443","192.168.3.131","57721","TCP","60","257","0","",""
"192.168.3.131","58272","208.82.236.129","80","TCP","66","8192","0","",""
"208.82.236.129","80","192.168.3.131","58272","TCP","66","4380","0","",""
"192.168.3.131","58272","208.82.236.129","80","TCP","54","65700","0","",""
"192.168.3.131","58272","208.82.236.129","80","HTTP","618","65700","564","","GET"
"208.82.236.129","80","192.168.3.131","58272","TCP","1514","4944","1460","",""
"208.82.236.129","80","192.168.3.131","58272","TCP","1514","4944","1460","",""
"192.168.3.131","58272","208.82.236.129","80","TCP","54","65700","0","",""
"208.82.236.129","80","192.168.3.131","58272","TCP","1514","4944","1460","",""
"208.82.236.129","80","192.168.3.131","58272","TCP","1514","4944","1460","",""
"192.168.3.131","58272","208.82.236.129","80","TCP","54","65700","0","",""
"208.82.236.129","80","192.168.3.131","58272","HTTP","798","4944","744","",""
"208.82.236.129","80","192.168.3.131","58272","TCP","60","4944","0","",""
"192.168.3.131","58272","208.82.236.129","80","TCP","54","64956","0","",""
"192.168.3.131","58272","208.82.236.129","80","TCP","54","64956","0","",""
